Artist,,,Date,Sum of Capacity,Sum of Gross
",08/05/16,",,,,"118,149","$13,821,739.00 "
",09/19/16,",,,,"86,652","$9,829,597.00 "
",10/03/16,",,,,"62,704","$6,821,680.00 "
",07/10/16,",,,,"45,635","$5,074,208.00 "
",11/14/16,",,,,"34,590","$3,665,247.00 "
",09/30/16,",,,,"32,155","$3,436,519.00 "
",09/09/16,",,,,"31,251","$3,402,979.00 "
",07/05/16,",,,,"30,685","$3,376,247.00 "
",07/16/16,",,,,"27,313","$3,351,627.00 "
",10/10/16,",,,,"29,043","$3,280,806.00 "
",07/20/16,",,,,"29,382","$3,270,009.00 "
",07/30/16,",,,,"28,002","$3,224,583.00 "
",11/01/16,",,,,"27,823","$3,143,957.00 "
",10/25/16,",,,,"27,906","$3,115,293.00 "
",11/04/16,",,,,"25,421","$3,088,624.00 "
"Celine Dion,,",,,,"372,725","$53,314,034.00 "
",08/01/16,",,,,"138,164","$16,654,451.00 "
",08/20/16,",,,,"67,368","$8,852,397.00 "
",04/04/17,",,,,"50,227","$8,579,400.00 "
",05/16/17,",,,,"16,429","$2,810,980.00 "
",10/06/15,",,,,"16,971","$2,795,019.00 "
",09/29/15,",,,,"16,895","$2,770,252.00 "
",11/03/15,",,,,"16,714","$2,743,607.00 "
",09/08/15,",,,,"16,678","$2,724,230.00 "
",11/10/15,",,,,"16,793","$2,709,260.00 "
",11/17/15,",,,,"16,486","$2,674,438.00 "
"Luke Bryan,,",,,,"503,280","$45,620,027.00 "
",07/15/16,",,,,"76,450","$5,711,535.00 "
",08/19/16,",,,,"47,219","$4,565,263.00 "
",08/27/16,",,,,"41,819","$4,457,357.00 "
",08/29/15,",,,,"46,919","$3,819,757.00 "
",10/30/15,",,,,"44,004","$3,760,515.00 "
",06/06/15,",,,,"50,539","$3,642,005.00 "
",10/22/16,",,,,"41,638","$3,613,825.00 "
",06/20/15,",,,,"41,200","$3,593,389.00 "
",10/29/16,",,,,"39,573","$3,418,006.00 "
",09/05/15,",,,,"42,012","$3,229,226.00 "
",07/18/15,,",,,,"$3,103,467.00",
",07/11/15,",,,,"31,907","$2,705,682.00 "
"Dead & Company,,",,,,"481,593","$44,066,878.00 "
",06/30/17,",,,,"79,489","$6,357,746.00 "
",07/15/16,",,,,"57,606","$5,329,226.00 "
",06/25/16,",,,,"49,745","$5,145,262.00 "
",06/17/17,",,,,"57,665","$4,891,787.00 "
",06/09/17,",,,,"55,882","$4,365,860.00 "
",11/12/17,",,,,"34,735","$4,195,625.00 "
",06/24/17,",,,,"27,299","$4,032,321.00 "
",07/02/16,",,,,"49,166","$3,957,985.00 "
",05/31/17,",,,,"32,672","$2,931,167.00 "
",10/31/15,",,,,"37,334","$2,859,899.00 "
